"date","diff"
"1987-02-01","0.6133310582103904"
"1987-03-01","0.970899400972185573"
"1987-04-01","1.1520568828859209"
"1987-05-01","1.4095693114169889"
"1987-06-01","0.84684854340964877"
"1987-07-01","0.79297935067291214"
"1987-08-01","1.0897927297602880"
"1987-09-01","1.46678691343771614"
"1987-10-01","1.03752245098386498"
"1987-11-01","0.3302824441572711"
"1987-12-01","0.994190167803812449"
"1988-01-01","1.03892785607190623"
"1988-02-01","0.7582473981146010"
"1988-03-01","0.9564520401114282"
"1988-04-01","1.24953287882096967"
"1988-05-01","1.1884494291624909"
"1988-06-01","1.3806473400891060"
"1988-07-01","1.21856804376329495"
"1988-08-01","1.23097659964211137"
"1988-09-01","1.16436342793467976"
"1988-10-01","1.08264424334131353"
"1988-11-01","0.983143261051118803"
"1988-12-01","1.3814950689258446"
"1989-01-01","1.34978077027916346"
"1989-02-01","1.23522351585820292"
"1989-03-01","1.4439029568495255"
"1989-04-01","0.94948035703363027"
"1989-05-01","0.954414774620633595"
"1989-06-01","0.6898947380738034"
"1989-07-01","0.66412584204636463"
"1989-08-01","0.7258332000435476"
"1989-09-01","1.011748302070212534"
"1989-10-01","0.77628736010523206"
"1989-11-01","0.6213070645316172"
"1989-12-01","0.8426722227329337"
"1990-01-01","0.75365575840936386"
"1990-02-01","0.9792312029761090325"
"1990-03-01","1.06374148198234155"
"1990-04-01","1.003787650527016196"
"1990-05-01","0.923990880121390914"
"1990-06-01","1.14515359691024033"
"1990-07-01","0.8497037584915641"
"1990-08-01","0.938466124685947064"
"1990-09-01","1.09487889538788765"
"1990-10-01","0.92935806060855637"
"1990-11-01","0.69052282324049594"
"1990-12-01","0.48861338913255045"
"1991-01-01","0.5839940296605382"
"1991-02-01","0.3546952373762089"
"1991-03-01","0.87794649166285041"
"1991-04-01","0.7888023749921666"
"1991-05-01","0.84084021178457766"
"1991-06-01","1.08924910109551931"
"1991-07-01","0.88033138018155777"
"1991-08-01","0.8265119835254013"
"1991-09-01","0.78002481989204148"
"1991-10-01","0.71668678932283245"
"1991-11-01","0.5750967696072019"
"1991-12-01","0.5754988898912513"
"1992-01-01","0.5799129362881264"
"1992-02-01","1.015371896287012415"
"1992-03-01","0.927088188752061756"
"1992-04-01","0.7429520542125366"
"1992-05-01","1.08406607090249842"
"1992-06-01","0.93047555623157136"
"1992-07-01","0.4451251344839515"
"1992-08-01","1.06259387518594596"
"1992-09-01","0.90377195967525659"
"1992-10-01","0.86498804487653361"
"1992-11-01","0.9868359519476391524"
"1992-12-01","0.80974561105056525"
"1993-01-01","1.09483063228589933"
"1993-02-01","1.001921459698378853"
"1993-03-01","1.03604929295259338"
"1993-04-01","0.86561413128045717"
"1993-05-01","0.983750594507049806"
"1993-06-01","1.01885446183691231"
"1993-07-01","0.9803978082097831536"
"1993-08-01","0.9785846469637785335"
"1993-09-01","1.08825349788105944"
"1993-10-01","0.86715727810816246"
"1993-11-01","0.999467169382680635"
"1993-12-01","0.90299011180108095"
"1994-01-01","1.06105100934152721"
"1994-02-01","1.19613180639900685"
"1994-03-01","1.0747609914859584"
"1994-04-01","1.21853872330017305"
"1994-05-01","1.44241888723291886"
"1994-06-01","1.22923585478595576"
"1994-07-01","0.989022917040066006"
"1994-08-01","1.20208664444508992"
"1994-09-01","1.2360559636238673"
"1994-10-01","1.010150967705610152"
"1994-11-01","1.5507829238729227"
"1994-12-01","1.15657458319124187"
"1995-01-01","1.07028416876085171"
"1995-02-01","1.38478594231983385"
"1995-03-01","1.046735481087733575"
"1995-04-01","1.04630254404652684"
"1995-05-01","0.95674769719906416"
"1995-06-01","0.964789899323667865"
"1995-07-01","0.81811393987259495"
"1995-08-01","0.87004672391107176"
"1995-09-01","1.04132060449248712"
"1995-10-01","0.94308506537653012"
"1995-11-01","1.01892699640388377"
"1995-12-01","0.77272200775557848"
"1996-01-01","0.91971014549854964"
"1996-02-01","0.6071848511764568"
"1996-03-01","1.09125838650085466"
"1996-04-01","0.87390443596267062"
"1996-05-01","0.992032876305737589"
"1996-06-01","1.039007046857216706"
"1996-07-01","1.1404817019892739"
"1996-08-01","0.7755022669974849"
"1996-09-01","1.05432615693275264"
"1996-10-01","0.9178360468800645"
"1996-11-01","1.0396035599471412"
"1996-12-01","0.969905909102945005"
"1997-01-01","0.94352075142767153"
"1997-02-01","0.9427663904977921"
"1997-03-01","1.18546898642176013"
"1997-04-01","1.10386382908312618"
"1997-05-01","0.937756491969571665"
"1997-06-01","1.02716404758936038"
"1997-07-01","0.9310332201951956"
"1997-08-01","0.9873530908997369873"
"1997-09-01","0.955506657067195406"
"1997-10-01","0.93052540602963248"
"1997-11-01","1.009649830027027644"
"1997-12-01","0.96816018221906408"
"1998-01-01","1.004509378592081686"
"1998-02-01","0.8565576281678430"
"1998-03-01","0.92319001004815453"
"1998-04-01","0.88775395822320133"
"1998-05-01","1.02533131350554074"
"1998-06-01","1.010585102345536225"
"1998-07-01","0.92675778718899819"
"1998-08-01","1.039969916304138905"
"1998-09-01","0.86617314563412207"
"1998-10-01","0.4748754006357572"
"1998-11-01","0.6888766489041152"
"1998-12-01","0.77120004849322616"
"1999-01-01","0.85655846913476827"
"1999-02-01","1.12192762569588114"
"1999-03-01","0.97400004119780398"
"1999-04-01","0.85792640216254213"
"1999-05-01","0.972319138869953853"
"1999-06-01","0.949991314739720373"
"1999-07-01","1.19901693940284185"
"1999-08-01","1.0053155399264980"
"1999-09-01","1.0860513621310440"
"1999-10-01","0.8051907969624600"
"1999-11-01","1.13424430752046293"
