"날짜","종가","시가","고가","저가","변동 %"
"1985- 08- 01","86.59","85.00","87.75","84.06","2.36%"
"1985- 09- 01","85.69","86.44","87.50","84.94","-1.04%"
"1985- 10- 01","87.84","85.62","88.34","84.84","2.51%"
"1985- 11- 01","90.22","87.47","90.50","87.31","2.71%"
"1985- 12- 01","92.91","90.12","93.56","89.31","2.98%"
"1986- 01- 01","93.00","92.75","93.62","90.00","0.10%"
"1986- 02- 01","98.91","93.22","100.50","91.62","6.35%"
"1986- 03- 01","102.75","98.75","102.81","98.31","3.88%"
"1986- 04- 01","102.25","103.25","105.25","100.56","-0.49%"
"1986- 05- 01","97.72","102.19","102.41","97.38","-4.43%"
"1986- 06- 01","101.25","97.88","101.50","95.59","3.61%"
"1986- 07- 01","101.81","101.50","102.88","100.00","0.55%"
"1986- 08- 01","104.97","101.88","105.16","100.72","3.10%"
"1986- 09- 01","101.53","104.66","105.00","100.09","-3.28%"
"1986- 10- 01","103.09","101.69","103.66","100.56","1.54%"
"1986- 11- 01","104.09","103.22","104.50","101.88","0.97%"
"1986- 12- 01","103.31","103.75","105.41","103.25","-0.75%"
"1987- 01- 01","104.19","103.41","105.12","103.38","0.85%"
"1987- 02- 01","104.69","103.97","104.91","102.91","0.48%"
"1987- 03- 01","102.31","105.00","105.19","101.56","-2.27%"
"1987- 04- 01","97.75","101.75","102.28","95.06","-4.46%"
"1987- 05- 01","96.28","97.50","98.03","93.19","-1.50%"
"1987- 06- 01","96.28","97.09","98.31","94.69","0.00%"
"1987- 07- 01","95.19","96.41","97.31","95.03","-1.13%"
"1987- 08- 01","93.25","94.47","96.06","92.69","-2.04%"
"1987- 09- 01","89.03","93.25","93.50","88.75","-4.53%"
"1987- 10- 01","93.31","89.25","94.94","84.88","4.81%"
"1987- 11- 01","93.19","93.03","95.03","92.19","-0.13%"
"1987- 12- 01","93.62","93.19","94.38","91.41","0.46%"
"1988- 01- 01","97.88","93.31","97.94","92.50","4.55%"
"1988- 02- 01","98.44","98.31","98.91","96.94","0.57%"
"1988- 03- 01","95.41","98.56","99.00","94.84","-3.08%"
"1988- 04- 01","93.91","94.47","95.97","93.62","-1.57%"
"1988- 05- 01","92.06","93.78","94.00","91.47","-1.97%"
"1988- 06- 01","94.09","92.41","95.47","92.31","2.21%"
"1988- 07- 01","92.50","94.06","94.56","92.00","-1.69%"
"1988- 08- 01","92.06","92.47","93.50","90.56","-0.48%"
"1988- 09- 01","94.28","92.09","94.88","91.91","2.41%"
"1988- 10- 01","95.81","94.28","95.84","94.09","1.62%"
"1988- 11- 01","93.34","95.62","95.94","92.44","-2.58%"
"1988- 12- 01","92.72","93.34","94.38","92.25","-0.66%"
"1989- 01- 01","93.66","92.47","94.38","91.88","1.01%"
"1989- 02- 01","91.72","93.75","94.31","91.09","-2.07%"
"1989- 03- 01","91.94","91.81","92.34","90.41","0.24%"
"1989- 04- 01","93.62","92.22","93.94","91.62","1.83%"
"1989- 05- 01","95.97","93.31","96.34","92.50","2.51%"
"1989- 06- 01","98.97","96.00","99.22","95.72","3.13%"
"1989- 07- 01","101.22","99.16","101.25","98.56","2.27%"
"1989- 08- 01","98.00","101.31","102.25","97.41","-3.18%"
"1989- 09- 01","97.62","97.91","99.47","97.12","-0.39%"
"1989- 10- 01","100.00","97.69","101.62","97.62","2.44%"
"1989- 11- 01","100.50","100.06","101.12","99.44","0.50%"
"1989- 12- 01","99.75","100.50","101.22","99.41","-0.75%"
"1990- 01- 01","97.00","99.59","99.94","95.97","-2.76%"
"1990- 02- 01","96.41","97.00","97.81","95.22","-0.61%"
"1990- 03- 01","95.44","96.34","96.72","94.94","-1.01%"
"1990- 04- 01","93.25","95.47","96.62","92.91","-2.29%"
"1990- 05- 01","95.94","93.41","96.22","92.81","2.88%"
"1990- 06- 01","97.00","95.94","97.47","95.81","1.10%"
"1990- 07- 01","97.53","97.03","97.78","95.62","0.55%"
"1990- 08- 01","94.50","97.56","98.16","93.03","-3.11%"
"1990- 09- 01","94.62","94.16","95.12","93.00","0.13%"
"1990- 10- 01","95.75","94.81","96.19","93.81","1.19%"
"1990- 11- 01","97.94","95.72","98.22","95.72","2.29%"
"1990- 12- 01","98.75","98.16","100.38","97.69","0.83%"
"1991- 01- 01","99.41","98.94","99.97","97.56","0.67%"
"1991- 02- 01","99.31","99.47","101.09","99.19","-0.10%"
"1991- 03- 01","98.75","99.16","99.56","97.28","-0.56%"
"1991- 04- 01","99.28","98.56","99.81","98.28","0.54%"
"1991- 05- 01","99.09","99.34","99.88","98.09","-0.19%"
"1991- 06- 01","97.50","99.06","99.06","96.66","-1.60%"
"1991- 07- 01","98.47","97.59","98.47","96.78","0.99%"
"1991- 08- 01","100.78","98.56","101.50","98.19","2.35%"
"1991- 09- 01","102.59","100.94","102.66","100.44","1.80%"
"1991- 10- 01","102.97","102.66","103.22","101.16","0.37%"
"1991- 11- 01","103.47","102.91","104.00","102.19","0.49%"
"1991- 12- 01","107.28","103.50","107.53","103.47","3.68%"
"1992- 01- 01","103.53","107.34","107.38","103.22","-3.50%"
"1992- 02- 01","104.16","103.66","105.12","102.31","0.61%"
"1992- 03- 01","101.69","104.16","104.28","100.88","-2.37%"
"1992- 04- 01","101.72","101.72","103.50","101.50","0.03%"
"1992- 05- 01","103.81","101.84","104.81","101.84","2.05%"
"1992- 06- 01","104.38","103.81","105.34","103.16","0.55%"
"1992- 07- 01","107.75","104.41","109.25","104.22","3.23%"
"1992- 08- 01","108.78","107.62","110.19","107.28","0.96%"
"1992- 09- 01","109.22","108.81","111.31","107.66","0.40%"
"1992- 10- 01","106.69","109.22","110.62","105.81","-2.32%"
"1992- 11- 01","106.12","106.69","107.31","105.41","-0.53%"
"1992- 12- 01","106.91","106.12","108.28","106.03","0.74%"
"1993- 01- 01","109.78","106.88","110.00","106.19","2.68%"
"1993- 02- 01","112.38","110.00","113.31","109.38","2.37%"
"1993- 03- 01","111.19","112.69","114.75","110.41","-1.06%"
"1993- 04- 01","112.00","111.19","113.41","110.22","0.73%"
"1993- 05- 01","111.72","112.19","113.22","111.22","-0.25%"
"1993- 06- 01","113.31","111.72","113.66","111.72","1.42%"
"1993- 07- 01","113.28","113.31","114.41","112.00","-0.03%"
"1993- 08- 01","115.72","113.28","115.94","112.75","2.15%"
"1993- 09- 01","115.38","115.72","117.28","114.72","-0.29%"
"1993- 10- 01","115.09","115.47","117.12","114.59","-0.25%"
"1993- 11- 01","113.34","115.06","115.09","112.66","-1.52%"
