"날짜","종가","시가","고가","저가","변동 %"
"2002- 01- 01","105.88","105.30","107.38","103.86","0.70%"
"2002- 02- 01","107.25","105.84","107.67","105.52","1.29%"
"2002- 03- 01","102.45","107.23","107.34","101.91","-4.48%"
"2002- 04- 01","105.56","102.47","105.80","102.19","3.04%"
"2002- 05- 01","106.73","105.56","107.03","104.25","1.11%"
"2002- 06- 01","107.23","106.58","108.95","106.23","0.47%"
"2002- 07- 01","110.61","107.33","111.97","106.88","3.15%"
"2002- 08- 01","113.17","110.61","114.19","110.53","2.31%"
"2002- 09- 01","115.91","113.28","116.20","113.28","2.42%"
"2002- 10- 01","114.72","115.86","116.44","111.80","-1.03%"
"2002- 11- 01","112.52","114.80","115.47","112.06","-1.92%"
"2002- 12- 01","115.05","112.16","115.55","111.52","2.25%"
"2003- 01- 01","113.92","115.12","115.20","112.17","-0.98%"
"2003- 02- 01","116.72","114.06","116.81","113.59","2.46%"
"2003- 03- 01","114.88","116.72","117.91","112.47","-1.58%"
"2003- 04- 01","115.12","115.25","115.31","113.12","0.21%"
"2003- 05- 01","119.06","115.22","119.39","114.47","3.42%"
"2003- 06- 01","117.44","118.78","121.50","116.75","-1.36%"
"2003- 07- 01","110.62","117.59","117.95","110.06","-5.81%"
"2003- 08- 01","111.53","111.00","113.48","109.61","0.82%"
"2003- 09- 01","114.62","111.09","114.67","110.00","2.77%"
"2003- 10- 01","112.30","114.58","114.75","110.48","-2.02%"
"2003- 11- 01","112.41","112.28","114.16","110.72","0.10%"
"2003- 12- 01","112.27","112.30","114.28","111.44","-0.12%"
"2004- 01- 01","113.44","112.08","115.11","111.03","1.04%"
"2004- 02- 01","115.38","113.42","115.48","112.88","1.71%"
"2004- 03- 01","115.41","115.44","117.97","114.45","0.03%"
"2004- 04- 01","110.50","115.41","115.50","109.95","-4.25%"
"2004- 05- 01","109.88","110.50","111.09","107.80","-0.56%"
"2004- 06- 01","109.33","109.73","110.16","108.09","-0.50%"
"2004- 07- 01","110.72","109.56","111.42","109.17","1.27%"
"2004- 08- 01","113.47","111.00","113.77","110.66","2.48%"
"2004- 09- 01","112.62","113.58","114.38","112.16","-0.75%"
"2004- 10- 01","113.56","112.59","114.16","111.66","0.83%"
"2004- 11- 01","111.45","113.56","113.56","111.23","-1.86%"
"2004- 12- 01","111.94","111.53","113.44","110.98","0.44%"
"2005- 01- 01","112.27","111.94","112.56","110.72","0.29%"
"2005- 02- 01","110.88","112.27","113.39","110.64","-1.24%"
"2005- 03- 01","109.27","110.77","111.59","107.83","-1.45%"
"2005- 04- 01","111.42","109.28","111.89","108.84","1.97%"
"2005- 05- 01","112.84","111.38","113.42","110.80","1.27%"
"2005- 06- 01","113.47","113.03","114.50","111.78","0.56%"
"2005- 07- 01","110.98","113.67","113.67","110.88","-2.19%"
"2005- 08- 01","112.92","111.03","113.06","109.78","1.75%"
"2005- 09- 01","109.92","112.97","113.42","109.84","-2.66%"
"2005- 10- 01","108.45","109.89","110.08","108.12","-1.34%"
"2005- 11- 01","108.73","108.48","109.53","107.48","0.26%"
"2005- 12- 01","109.41","108.78","109.88","108.20","0.63%"
"2006- 01- 01","108.44","109.39","110.20","108.28","-0.89%"
"2006- 02- 01","108.00","108.50","108.59","107.53","-0.41%"
"2006- 03- 01","106.39","107.98","108.05","106.12","-1.49%"
"2006- 04- 01","105.58","106.39","106.53","104.92","-0.76%"
