DATE,SPCS10RSA
1987-01-01,63.103813643947
1987-02-01,63.804971994368
1987-03-01,64.425674061484
1987-04-01,65.06339252205599
1987-05-01,65.815102925534
1987-06-01,66.47717136509
1987-07-01,67.121362840554
1987-08-01,67.713656560201
1987-09-01,68.35446404198599
1987-10-01,68.99160442805899
1987-11-01,69.569333938095
1987-12-01,70.307761524651
1988-01-01,70.756606945868
1988-02-01,71.24097250669699
1988-03-01,71.741918586186
1988-04-01,72.20274157533301
1988-05-01,72.75907480668499
1988-06-01,73.497716332557
1988-07-01,74.339543590096
1988-08-01,75.093191358655
1988-09-01,75.82496821535901
1988-10-01,76.427172039116
1988-11-01,77.075882866985
1988-12-01,77.679398771756
1989-01-01,78.326359659829
1989-02-01,78.899014638903
1989-03-01,79.819909478309
1989-04-01,80.44194836525699
1989-05-01,80.831877862936
1989-06-01,81.073507009628
1989-07-01,81.139316371294
1989-08-01,81.403007545787
1989-09-01,81.620079431848
1989-10-01,81.939801685198
1989-11-01,82.226264554936
1989-12-01,82.474829755417
1990-01-01,82.649826670402
1990-02-01,82.729536237427
1990-03-01,82.75902918542499
1990-04-01,82.684298540751
1990-05-01,82.334041392296
1990-06-01,81.99313003689001
1990-07-01,81.574016432684
1990-08-01,81.169265256477
1990-09-01,80.765285272135
1990-10-01,80.362491082291
1990-11-01,79.905850285435
1990-12-01,79.51681210525601
1991-01-01,78.86895217894201
1991-02-01,78.33569009226301
1991-03-01,77.707146143221
1991-04-01,77.452366104365
1991-05-01,77.596422560078
1991-06-01,77.807823165675
1991-07-01,78.094504956467
1991-08-01,78.249835925722
1991-09-01,78.269983567618
1991-10-01,78.237162221698
1991-11-01,78.14625264016401
1991-12-01,78.149618908838
1992-01-01,78.073043963862
1992-02-01,78.079005146385
1992-03-01,78.009193440631
1992-04-01,77.950058483734
1992-05-01,77.89489909998801
1992-06-01,77.700970011255
1992-07-01,77.430626512508
1992-08-01,77.3057332077
1992-09-01,77.152597845723
1992-10-01,77.029038492232
1992-11-01,76.957137395965
1992-12-01,76.861893934688
1993-01-01,76.89065921505299
1993-02-01,76.854669450237
1993-03-01,76.59674496606
1993-04-01,76.398576714611
1993-05-01,76.270274651898
1993-06-01,76.261262920811
1993-07-01,76.090530082597
1993-08-01,75.90224095175701
1993-09-01,75.870390149284
1993-10-01,75.810511428294
1993-11-01,75.90266054856
1993-12-01,75.907566697489
1994-01-01,76.056593261447
1994-02-01,76.227973265849
1994-03-01,76.409260435103
1994-04-01,76.57713817041099
1994-05-01,76.692584761429
1994-06-01,76.77214957816
1994-07-01,76.86520466865501
1994-08-01,76.940706660917
1994-09-01,76.970024907845
1994-10-01,77.098700146926
1994-11-01,77.133810645073
1994-12-01,77.212223047792
1995-01-01,77.202510129584
1995-02-01,77.278940569061
1995-03-01,77.056324855629
1995-04-01,76.88449330013
1995-05-01,76.772441123809
1995-06-01,76.661995270503
1995-07-01,76.70262373324199
1995-08-01,76.748755583897
1995-09-01,76.823236624484
1995-10-01,76.859018115385
1995-11-01,76.877842888545
1995-12-01,76.918109330611
1996-01-01,76.988222051262
1996-02-01,77.117160747814
1996-03-01,77.166518902308
1996-04-01,77.338429969539
1996-05-01,77.471557292116
1996-06-01,77.468786163869
1996-07-01,77.508665779993
1996-08-01,77.607997543415
1996-09-01,77.746789601955
1996-10-01,77.951595111159
1996-11-01,78.18379763196
1996-12-01,78.379868251195
1997-01-01,78.57054553015
1997-02-01,78.722706209407
1997-03-01,78.99016983704
1997-04-01,79.248130359431
1997-05-01,79.52593735014399
1997-06-01,79.906871554854
1997-07-01,80.218184869491
1997-08-01,80.60920171425201
1997-09-01,80.91075510801501
1997-10-01,81.415259409582
1997-11-01,81.957540845524
1997-12-01,82.59145908108499
1998-01-01,83.262982296734
1998-02-01,83.96752640451899
1998-03-01,84.624136817892
1998-04-01,85.185198734876
1998-05-01,85.85668866246101
1998-06-01,86.628912119611
1998-07-01,87.430069251312
1998-08-01,88.14287533562799
1998-09-01,88.85116254811399
1998-10-01,89.345365218459
1998-11-01,89.73197527960698
1998-12-01,90.137674991467
1999-01-01,90.710068089233
1999-02-01,91.43560698419
1999-03-01,92.133323123554
1999-04-01,93.051290138034
1999-05-01,93.75406311348
1999-06-01,94.648304624811
1999-07-01,95.50227628125299
1999-08-01,96.379738225333
1999-09-01,97.196426191663
1999-10-01,97.975328564848
1999-11-01,98.893565846129
1999-12-01,99.866070664924
2000-01-01,100.745302690135
2000-02-01,101.89316888737801
2000-03-01,103.154349999589
2000-04-01,104.530842725956
2000-05-01,106.01197930517598
2000-06-01,107.33554315592501
2000-07-01,108.170753202386
2000-08-01,109.06759356969101
2000-09-01,110.02706507224899
2000-10-01,111.171616512624
2000-11-01,112.502151884764
2000-12-01,113.931339029336
2001-01-01,115.430280436796
2001-02-01,116.69129844717101
2001-03-01,117.724863882214
2001-04-01,118.50031423826799
2001-05-01,118.952874070138
2001-06-01,119.50223252831199
2001-07-01,120.102298427682
2001-08-01,120.95429708772
2001-09-01,121.952149336914
2001-10-01,122.80964685141501
2001-11-01,123.622556165108
2001-12-01,124.019417468947
2002-01-01,124.827262928507
2002-02-01,125.758569202464
2002-03-01,127.03521021923201
2002-04-01,128.539689237597
2002-05-01,130.339861886572
2002-06-01,132.216693315688
2002-07-01,134.097853983855
2002-08-01,135.954579072727
2002-09-01,137.607005242527
2002-10-01,139.36810664283502
2002-11-01,141.00702668513398
2002-12-01,142.565320336647
2003-01-01,143.862095403482
2003-02-01,145.040773506765
2003-03-01,146.136439158016
2003-04-01,147.139675874546
2003-05-01,148.192372708014
2003-06-01,149.132050893127
2003-07-01,150.646602076597
2003-08-01,152.435288316882
