"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 01- 23","34,725.47","34,070.61","34,815.67","33,150.33","2.85B","1.34%"
"2022- 01- 16","34,265.37","35,661.76","35,661.76","34,229.55","1.71B","-4.58%"
"2022- 01- 09","35,911.81","36,175.21","36,513.88","35,639.91","1.87B","-0.88%"
"2022- 01- 02","36,231.66","36,321.59","36,952.65","36,111.53","2.00B","-0.29%"
"2021- 12- 26","36,338.30","35,954.48","36,679.44","35,954.48","1.13B","1.08%"
"2021- 12- 19","35,950.56","35,222.12","36,060.99","34,665.50","1.28B","1.65%"
"2021- 12- 12","35,365.44","35,958.93","36,189.83","35,284.26","2.58B","-1.68%"
"2021- 12- 05","35,970.99","34,633.43","35,982.69","34,633.43","2.00B","4.02%"
"2021- 11- 28","34,580.08","35,017.71","35,287.91","34,006.98","2.51B","-0.91%"
"2021- 11- 21","34,899.34","35,631.41","35,929.66","34,749.80","1.43B","-1.97%"
"2021- 11- 14","35,601.98","36,128.83","36,316.61","35,555.37","1.80B","-1.38%"
"2021- 11- 07","36,100.31","36,416.46","36,565.73","35,915.27","1.39B","-0.63%"
"2021- 10- 31","36,327.95","35,833.65","36,484.75","35,797.97","1.52B","1.42%"
"2021- 10- 24","35,819.56","35,692.62","35,892.92","35,490.43","1.71B","0.40%"
"2021- 10- 17","35,677.02","35,221.02","35,765.02","35,035.94","1.52B","1.08%"
"2021- 10- 10","35,294.76","34,723.79","35,320.97","34,115.10","1.56B","1.58%"
"2021- 10- 03","34,746.25","34,312.96","34,975.19","33,821.58","1.55B","1.22%"
"2021- 09- 26","34,326.46","34,739.27","35,061.12","33,785.54","1.75B","-1.36%"
"2021- 09- 19","34,798.00","34,459.72","34,879.78","33,613.03","1.59B","0.62%"
"2021- 09- 12","34,584.88","34,665.50","34,990.36","34,510.30","1.85B","-0.07%"
"2021- 09- 05","34,607.72","35,373.24","35,373.24","34,599.61","1.15B","-2.15%"
"2021- 08- 29","35,369.09","35,471.80","35,510.71","35,269.40","1.34B","-0.24%"
"2021- 08- 22","35,455.80","35,160.97","35,501.14","35,160.97","1.20B","0.96%"
"2021- 08- 15","35,120.08","35,490.83","35,631.19","34,690.25","1.50B","-1.11%"
"2021- 08- 08","35,515.38","35,229.67","35,610.57","35,041.24","1.17B","0.87%"
"2021- 08- 01","35,208.51","34,968.56","35,246.79","34,714.33","1.20B","0.78%"
"2021- 07- 25","34,935.47","35,055.86","35,171.52","34,871.13","1.45B","-0.36%"
"2021- 07- 18","35,061.55","34,528.48","35,095.33","33,741.76","1.78B","1.08%"
"2021- 07- 11","34,687.85","34,836.75","35,090.01","34,647.82","1.62B","-0.52%"
"2021- 07- 04","34,870.16","34,790.16","34,893.72","34,145.59","1.29B","0.24%"
"2021- 06- 27","34,786.35","34,428.10","34,821.93","34,186.13","1.44B","1.02%"
"2021- 06- 20","34,433.84","33,312.07","34,501.02","33,312.07","1.60B","3.44%"
"2021- 06- 13","33,290.08","34,472.52","34,472.52","33,271.93","1.85B","-3.45%"
"2021- 06- 06","34,479.60","34,766.20","34,820.91","34,328.65","1.38B","-0.80%"
"2021- 05- 30","34,756.39","34,584.19","34,849.32","34,334.41","1.13B","0.66%"
"2021- 05- 23","34,529.45","34,253.87","34,631.11","34,253.87","1.61B","0.94%"
"2021- 05- 16","34,207.84","34,375.29","34,415.48","33,473.80","1.58B","-0.51%"
"2021- 05- 09","34,382.13","34,785.27","35,091.56","33,555.22","1.83B","-1.14%"
"2021- 05- 02","34,777.76","33,904.89","34,811.39","33,765.68","1.59B","2.67%"
"2021- 04- 25","33,874.85","34,044.23","34,148.94","33,744.28","1.72B","-0.50%"
"2021- 04- 18","34,043.49","34,182.38","34,182.38","33,687.01","1.66B","-0.46%"
"2021- 04- 11","34,200.67","33,775.06","34,256.75","33,545.84","1.65B","1.18%"
"2021- 04- 04","33,800.60","33,222.38","33,810.87","33,222.38","1.55B","1.95%"
"2021- 03- 28","33,153.21","33,087.55","33,259.00","32,905.13","1.40B","0.24%"
"2021- 03- 21","33,072.88","32,601.82","33,098.83","32,071.41","1.97B","1.36%"
