Date,Open,High,Low,Close,Adj Close,Volume
1997-01-01,647.669983,721.789978,600.559998,685.840027,685.840027,705400
1997-02-01,682.260010,726.130005,664.750000,676.530029,676.530029,634200
1997-03-01,677.179993,685.950012,607.869995,677.340027,677.340027,735200
1997-04-01,678.969971,710.669983,668.719971,703.229980,703.229980,898700
1997-05-01,704.770020,752.289978,667.659973,746.359985,746.359985,963800
1997-06-01,758.919983,799.539978,737.979980,745.400024,745.400024,1081900
1997-07-01,744.979980,783.239990,721.400024,726.119995,726.119995,837200
1997-08-01,726.840027,766.700012,688.270020,695.369995,695.369995,672700
1997-09-01,691.799988,705.200012,622.030029,647.109985,647.109985,578000
1997-10-01,646.859985,655.039978,462.829987,470.790009,470.790009,839100
1997-11-01,472.350006,565.159973,391.130005,407.859985,407.859985,1148900
1997-12-01,405.519989,443.510010,338.940002,376.309998,376.309998,1474200
1998-01-01,374.410004,587.989990,372.369995,567.380005,567.380005,1879200
1998-02-01,556.580017,566.239990,462.260010,558.979980,558.979980,1691000
1998-03-01,562.659973,591.700012,479.519989,481.040009,481.040009,1636800
1998-04-01,482.880005,498.709991,399.480011,421.220001,421.220001,1114400
1998-05-01,401.529999,401.529999,301.220001,336.630005,336.630005,1131500
1998-06-01,334.100006,353.290009,277.369995,297.880005,297.880005,1522000
1998-07-01,298.010010,374.079987,298.010010,343.329987,343.329987,2056900
1998-08-01,336.119995,338.709991,288.059998,310.160004,310.160004,1639100
1998-09-01,309.739990,338.950012,287.459991,310.320007,310.320007,1638400
1998-10-01,309.519989,394.589996,302.709991,384.750000,384.750000,2236900
1998-11-01,406.970001,467.130005,393.980011,451.880005,451.880005,3849500
1998-12-01,451.850006,599.320007,438.420013,562.460022,562.460022,5313600
1999-01-01,575.409973,651.950012,531.200012,571.429993,571.429993,5018500
1999-02-01,572.950012,583.260010,489.750000,520.059998,520.059998,2386600
1999-03-01,524.979980,622.909973,524.940002,618.979980,618.979980,4117700
1999-04-01,618.340027,806.409973,616.840027,752.590027,752.590027,6677800
1999-05-01,757.599976,826.039978,690.039978,736.020020,736.020020,5037800
1999-06-01,733.280029,909.330017,728.340027,883.000000,883.000000,5271700
1999-07-01,894.400024,1052.599976,860.130005,969.719971,969.719971,8337200
1999-08-01,967.700012,995.080017,841.270020,937.880005,937.880005,6645300
1999-09-01,944.500000,984.570007,836.179993,836.179993,836.179993,5409300
1999-10-01,838.650024,877.059998,778.900024,833.510010,833.510010,5916800
1999-11-01,863.500000,1024.089966,857.090027,996.659973,996.659973,8532800
1999-12-01,992.619995,1038.040039,934.219971,1028.069946,1028.069946,5999900
2000-01-01,1028.329956,1066.180054,875.820007,943.880005,943.880005,4798400
2000-02-01,955.440002,991.710022,810.530029,828.380005,828.380005,5144500
2000-03-01,864.780029,928.549988,820.299988,860.940002,860.940002,6536400
2000-04-01,866.750000,880.409973,688.359985,725.390015,725.390015,4113400
2000-05-01,731.760010,778.460022,625.140015,731.880005,731.880005,4940500
2000-06-01,730.549988,858.340027,722.239990,821.219971,821.219971,8784000
2000-07-01,824.830017,863.530029,678.349976,705.969971,705.969971,8758600
2000-08-01,710.049988,754.460022,665.630005,688.619995,688.619995,6026500
2000-09-01,690.929993,698.280029,551.000000,613.219971,613.219971,5462500
2000-10-01,595.679993,616.219971,483.579987,514.479980,514.479980,6671400
2000-11-01,524.690002,581.469971,499.519989,509.230011,509.230011,7349000
2000-12-01,490.880005,560.159973,489.529999,504.619995,504.619995,5199300
2001-01-01,503.309998,627.450012,500.970001,617.909973,617.909973,9508000
2001-02-01,606.489990,620.780029,571.039978,578.099976,578.099976,7515600
2001-03-01,574.609985,579.280029,516.969971,523.219971,523.219971,7841600
2001-04-01,520.559998,581.630005,491.209991,577.359985,577.359985,7084800
2001-05-01,586.270020,633.159973,572.359985,612.159973,612.159973,11805500
2001-06-01,615.669983,623.369995,580.750000,595.130005,595.130005,7277300
2001-07-01,593.030029,600.510010,512.780029,541.549988,541.549988,5648300
2001-08-01,546.299988,585.359985,542.000000,545.109985,545.109985,9651500
2001-09-01,545.020020,559.169983,463.540009,479.679993,479.679993,12162100
2001-10-01,498.869995,550.929993,493.119995,537.809998,537.809998,10307000
2001-11-01,540.630005,680.909973,536.200012,643.890015,643.890015,16016800
2001-12-01,643.609985,715.929993,631.869995,693.700012,693.700012,11599300
2002-01-01,698.000000,787.650024,690.359985,748.070007,748.070007,15760300
2002-02-01,757.070007,826.599976,718.859985,819.989990,819.989990,10888200
2002-03-01,842.210022,914.929993,815.539978,895.580017,895.580017,13127700
2002-04-01,900.469971,943.539978,829.159973,842.340027,842.340027,14740200
2002-05-01,855.409973,878.679993,794.919983,796.400024,796.400024,15248800
2002-06-01,793.530029,832.260010,699.150024,742.719971,742.719971,12999300
2002-07-01,722.580017,807.359985,688.679993,717.989990,717.989990,30546200
2002-08-01,720.989990,753.500000,660.940002,736.400024,736.400024,23262300
2002-09-01,739.840027,755.440002,639.739990,646.419983,646.419983,13634200
2002-10-01,637.809998,682.809998,576.489990,658.919983,658.919983,22582100
2002-11-01,652.340027,725.599976,643.390015,724.799988,724.799988,20690300
2002-12-01,724.989990,737.700012,613.760010,627.549988,627.549988,15688600
2003-01-01,633.030029,679.299988,581.130005,591.859985,591.859985,12593300
2003-02-01,591.880005,619.450012,561.690002,575.429993,575.429993,11616700
2003-03-01,578.500000,590.549988,512.299988,535.700012,535.700012,14942400
2003-04-01,529.070007,627.500000,525.510010,599.349976,599.349976,15513400
2003-05-01,600.469971,637.190002,582.869995,633.419983,633.419983,9592400
2003-06-01,643.929993,690.700012,632.469971,669.929993,669.929993,9797300
2003-07-01,666.450012,724.530029,663.349976,713.520020,713.520020,12007900
2003-08-01,718.840027,765.270020,693.700012,759.469971,759.469971,9216200
2003-09-01,763.219971,775.880005,688.070007,697.520020,697.520020,8046800
2003-10-01,690.469971,793.349976,688.619995,782.359985,782.359985,10159900
2003-11-01,783.080017,818.340027,752.140015,796.179993,796.179993,11213400
2003-12-01,796.359985,824.260010,774.039978,810.710022,810.710022,9176700
2004-01-01,816.260010,873.609985,813.630005,848.500000,848.500000,7633200
2004-02-01,850.280029,890.510010,834.700012,883.419983,883.419983,9659600
2004-03-01,892.570007,910.669983,822.049988,880.500000,880.500000,9651900
2004-04-01,878.780029,939.520020,854.390015,862.840027,862.840027,8779500
2004-05-01,863.030029,876.299988,716.950012,803.840027,803.840027,6751000
2004-06-01,807.549988,820.869995,729.059998,785.789978,785.789978,8416200
2004-07-01,784.849976,792.770020,717.770020,735.340027,735.340027,7889000
2004-08-01,730.609985,815.049988,713.989990,803.570007,803.570007,6940600
2004-09-01,803.510010,863.190002,801.580017,835.090027,835.090027,7206400
2004-10-01,835.500000,896.239990,801.010010,834.840027,834.840027,6807100
2004-11-01,832.520020,891.710022,831.320007,878.059998,878.059998,6406700
2004-12-01,874.469971,896.099976,838.099976,895.919983,895.919983,6710500
2005-01-01,896.000000,934.099976,866.169983,932.700012,932.700012,8288900
2005-02-01,930.159973,1011.650024,918.440002,1011.359985,1011.359985,8563800
2005-03-01,1015.159973,1025.079956,946.409973,965.679993,965.679993,13025500
2005-04-01,963.780029,996.900024,902.880005,911.299988,911.299988,8541300
2005-05-01,916.479980,972.169983,910.719971,970.210022,970.210022,6670500
2005-06-01,964.080017,1010.909973,963.780029,1008.159973,1008.159973,8515400
2005-07-01,1003.559998,1113.430054,1002.380005,1111.290039,1111.290039,13622100
2005-08-01,1113.900024,1137.459961,1055.540039,1083.329956,1083.329956,9665700
2005-09-01,1093.469971,1238.719971,1092.140015,1221.010010,1221.010010,9193400
2005-10-01,1228.030029,1246.410034,1137.229980,1158.109985,1158.109985,9704300
2005-11-01,1165.770020,1300.880005,1165.310059,1297.439941,1297.439941,10318900
2005-12-01,1295.560059,1383.140015,1288.979980,1379.369995,1379.369995,10329300
2006-01-01,1383.319946,1426.209961,1285.630005,1399.829956,1399.829956,10209800
2006-02-01,1390.430054,1398.189941,1299.729980,1371.589966,1371.589966,7212400
2006-03-01,1377.459961,1379.300049,1296.780029,1359.599976,1359.599976,7134200
2006-04-01,1362.349976,1458.670044,1361.140015,1419.729980,1419.729980,6887100
2006-05-01,1419.640015,1464.699951,1295.469971,1317.699951,1317.699951,5300600
2006-06-01,1308.439941,1319.050049,1192.089966,1295.150024,1295.150024,4457300
2006-07-01,1294.569946,1316.119995,1231.050049,1297.819946,1297.819946,3764000
2006-08-01,1296.709961,1361.479980,1277.310059,1352.739990,1352.739990,4513400
2006-09-01,1354.770020,1378.989990,1323.900024,1371.410034,1371.410034,5243300
2006-10-01,1370.270020,1380.910034,1303.619995,1364.550049,1364.550049,4807200
2006-11-01,1372.030029,1434.849976,1363.709961,1432.209961,1432.209961,5149600
2006-12-01,1433.400024,1445.510010,1373.030029,1434.459961,1434.459961,4258000
2007-01-01,1438.890015,1439.709961,1345.079956,1360.229980,1360.229980,4240100
2007-02-01,1367.069946,1471.040039,1362.040039,1417.339966,1417.339966,4381400
2007-03-01,1407.189941,1459.689941,1375.839966,1452.550049,1452.550049,5811800
2007-04-01,1456.189941,1565.030029,1452.560059,1542.239990,1542.239990,7849500
2007-05-01,1550.390015,1702.010010,1546.599976,1700.910034,1700.910034,8742800
2007-06-01,1712.969971,1813.839966,1707.750000,1743.599976,1743.599976,10039500
2007-07-01,1741.410034,2015.479980,1736.630005,1933.270020,1933.270020,10323800
2007-08-01,1920.069946,1928.640015,1626.869995,1873.239990,1873.239990,8622300
2007-09-01,1876.920044,1952.390015,1805.880005,1946.479980,1946.479980,6978100
2007-10-01,1948.780029,2070.860107,1875.229980,2064.850098,2064.850098,9678700
2007-11-01,2085.330078,2085.449951,1745.260010,1906.000000,1906.000000,7386800
